id,address,latitude,longitude
0,"Calle Juan Guerrero Urreisti, 93, 39011 Santander, Cantabria, Spain",43.4443931,-3.8575758
1,"Barrio San Martín del Pino, 24, 39011 Santander, Cantabria, Spain",43.4457124,-3.8519911
2,"Calle Isabel Torres, 1, 39011 Santander, Cantabria, Spain",43.45471999999999,-3.8682409
3,"CALLE NESTAR 2, 392,12, RIO",,
4,"Calle Industria, 12, 39600 Maliaño, Cantabria, Spain",43.41392889999999,-3.838259699999999
5,"39611, Cantabria, Spain",43.3959939,-3.8394491
6,"Barrio Mar, 5, 39312 Polanco, Cantabria, Spain",43.39425869999999,-4.0173493
7,,,
8,"Calle Barrio Sierrapando, 508, 39300 Torrelavega, Cantabria, Spain",43.3419006,-4.0379342
9,"Av. Ris, 39180, Cantabria, Spain",43.4851724,-3.5308366
